epoch,train_loss,lr,val_psnr,val_ssim,val_sam
0,0.117769,1.00e-04,31.7367,0.7866,6.6210
1,0.099357,9.76e-05,32.1778,0.8053,6.3868
2,0.086956,9.05e-05,32.4518,0.8130,6.1897
3,0.077756,7.94e-05,32.5415,0.8096,6.0168
4,0.071788,6.55e-05,32.5254,0.8016,5.8605
5,0.067550,5.00e-05,32.4114,0.7892,5.7476
6,0.064759,3.45e-05,32.2425,0.7736,5.6745
7,0.062618,2.06e-05,32.0408,0.7567,5.6337
8,0.061610,9.55e-06,31.8079,0.7379,5.6226
9,0.061164,2.45e-06,31.5610,0.7165,5.6496
10,0.060988,0.00e+00,31.3125,0.6935,5.7170
11,0.060875,2.45e-06,31.0751,0.6702,5.8288
